Heure,Consommation,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies
0:00:00,63866.5,214.4615385,163.1153846,5941.673077,49298.69231,6321.153846,0,7548.307692,795.4807692
1:00:00,59953.03846,216.0192308,154.7115385,5178.692308,48682.61538,6246.25,0,6418.865385,796.9423077
2:00:00,59191.71154,215.9807692,160.2307692,5108.326923,48387.86538,6158.115385,0,6169.75,797.1153846
3:00:00,56844.32692,216.2115385,149.2307692,4896,47917.42308,6078.865385,0,5681.903846,797.6923077
4:00:00,55176.25,215.8846154,154,4809.480769,47665.42308,6021.346154,0,5478.769231,797.3269231
5:00:00,55627.44231,215.7692308,159.7115385,4869.307692,47810.15385,6028.75,0,5549.423077,797.0769231
6:00:00,58691.90385,215.5576923,171.3653846,5353.442308,48402.71154,6011.269231,0,6014.711538,795.3269231
7:00:00,64159.17308,219.7884615,186.25,6230.980769,49131.80769,6039.634615,0,7922.980769,795.8461538
8:00:00,67750.36538,252.75,194.2884615,6682,49259.53846,6190.538462,103.9423077,10322.75,797.7115385
9:00:00,68716.48077,274.9615385,190.4807692,6777.923077,49551.17308,6183.096154,493.5769231,10762.80769,797.7307692
10:00:00,69127.09615,277.6346154,188.5576923,6800.769231,49730.44231,6093.653846,1495.538462,10739.07692,796.5961538
11:00:00,68773.03922,263.5098039,197.4117647,6692.627451,49849.56863,6064.980392,2378.72549,10132.35294,796.4313725
12:00:00,69085.03922,233.2745098,201.9803922,6616.372549,49888.17647,6184.803922,2956.392157,9665.352941,795.3921569
13:00:00,68530.82353,218.4901961,205.8627451,6545.215686,49872.58824,6346.803922,3148,9305.509804,795.3529412
14:00:00,65947.98039,218.1764706,204.0980392,6477.431373,49603.56863,6378.862745,2913.980392,8321.803922,794.627451
15:00:00,63529.47059,216.9607843,196.8039216,6494.941176,49348.56863,6277.882353,2353.078431,8076.509804,793.3529412
16:00:00,62270.52941,216.1176471,201.1372549,6597.823529,49346.96078,6172.078431,1435.294118,8362.843137,792.8235294
17:00:00,62318.68627,215.6078431,190.7843137,6702.941176,49489.96078,6092.176471,507.4901961,9021.098039,792.6470588
18:00:00,66334.4902,240.4901961,189.2745098,6929.588235,49880.19608,6171.490196,148.0980392,11021.4902,792.7647059
19:00:00,70768.21569,245.1764706,191.5490196,7023.843137,50059.78431,6360.705882,53.15686275,12987.15686,792.7058824
20:00:00,68575.21569,235.1960784,188.7254902,6907.568627,49986.84314,6522.568627,0,11692.45098,794.6078431
21:00:00,64791.88235,224.6470588,181.8627451,6587.27451,49826,6616.823529,0,9441.392157,794.3529412
22:00:00,62227.78431,221.372549,173.2156863,6064.45098,49508.11765,6624.27451,0,7817.627451,794.3921569
23:00:00,64699.4902,221.5098039,176.0392157,6179.294118,49546.78431,6450.705882,0,8679.803922,795.0196078
